zestimate.amount,street.name.and.number,zip.code,city,use.code,tax.assessment.year,tax.assessment.value,year.built,lot.size,finished.sqft,bathrooms,bedrooms,region.name,region.type,last.sold.date,last.sold.price,zindex.value
536276,7748 Balcom Ave,91335,Reseda,SingleFamily,2019,247181,1953,6199,1230,2,3,Reseda,neighborhood,10/31/2000,183000,493700
1452402,1876 Lemoyne St,90026,Los Angeles,SingleFamily,2019,1382100,1926,7400,2900,3,4,Echo Park,neighborhood,04/20/2018,1355000,809300
680238,24000 Roscoe Blvd,91304,Canoga Park,SingleFamily,2019,754172,1932,68389,1386,1,1,West Hills,neighborhood,04/13/2015,749000,651200
563859,2017 S Gaffey St,90731,San Pedro,SingleFamily,2019,204669,1954,4504,1688,2,3,San Pedro,neighborhood,01/28/2020,560000,578000
2185467,814 N Sweetzer Ave,90069,Los Angeles,SingleFamily,NA,NA,1933,NA,1500,1,2,Mid City West,neighborhood,NA,NA,1516200
1561833,1577 Palisades Dr,90272,Pacific Palisades,Condominium,2019,879075,1979,400172,2467,4,3,Pacific Palisades,neighborhood,NA,NA,2728800
8898527,13500 Mulholland Dr,90210,Beverly Hills,SingleFamily,2019,4864145,2004,24828,9682,11,7,Beverly Crest,neighborhood,10/30/2000,825000,2260600
1013599,3825 S Burnside Ave,90008,Los Angeles,SingleFamily,2019,427195,1947,7276,1895,3,3,Crenshaw,neighborhood,11/24/1998,252000,654800
607658,13954 Wallabi Ave,91342,Sylmar,SingleFamily,2019,232987,1987,10890,1571,2,3,Sylmar,neighborhood,03/11/1988,136000,473900
1254797,8311 Kenyon Ave,90045,Los Angeles,SingleFamily,2019,460679,1946,6610,1734,2,3,Westchester,neighborhood,09/15/2004,595000,1067500
1002811,5654 Fallsgrove St,90016,Los Angeles,SingleFamily,2019,948600,1947,6246,1629,2,3,Crenshaw,neighborhood,03/16/2018,930000,654800
2136798,624 W 120th St,90044,Los Angeles,SingleFamily,2019,433500,1924,10929,902,1,2,Harbor Gateway,neighborhood,08/09/2019,2050000,513600
563179,21718 Elkwood St,91304,Canoga Park,SingleFamily,2019,260292,1953,9066,1244,2,3,Canoga Park,neighborhood,NA,NA,487900
544483,1816 W 73rd St,90047,Los Angeles,SingleFamily,2019,99447,1925,6702,1234,2,3,South Los Angeles,neighborhood,NA,NA,429200
637699,8647 Norris Ave,91352,Sun Valley,SingleFamily,2019,387119,1938,6272,1668,3,4,Sun Valley,neighborhood,09/08/2010,315000,483500
1812259,10500 Tennessee Ave,90064,Los Angeles,SingleFamily,2019,612609,1938,6503,1819,2,3,West Los Angeles,neighborhood,NA,NA,1236400
772127,20001 Merridy St,91311,Chatsworth,SingleFamily,2019,372291,1976,11043,2441,3,4,Chatsworth,neighborhood,05/02/1997,255000,613700
1268028,4944 Denny Ave,91601,North Hollywood,SingleFamily,2019,517342,1928,6748,2680,4,4,North Hollywood,neighborhood,12/12/1995,151500,536800
1768067,1209 S Wooster St,90035,Los Angeles,Duplex,2019,1024071,1930,5140,2809,2.5,4,Pico-Robertson,neighborhood,10/14/2009,885000,1202500
490236,11743 Chivers Ave,91331,Pacoima,SingleFamily,2019,390150,1956,6007,1075,1,3,Pacoima,neighborhood,11/09/2016,220000,429400
737267,5638 Hazeltine Ave,91401,Van Nuys,SingleFamily,2019,675219,2015,1152,1671,3,3,Valley Glen,neighborhood,10/28/2016,649000,661900
479595,11075 Glenoaks Blvd,91331,Pacoima,SingleFamily,2019,138501,1955,6954,1109,1,2,Pacoima,neighborhood,09/20/1994,92000,429400
1351395,12171 Valleyheart Dr,91604,Studio City,SingleFamily,2019,1254600,1946,6000,2000,3,3,Studio City,neighborhood,12/14/2017,1230000,1188900
573352,8233 Redbush Ln,91402,Panorama City,SingleFamily,2019,511000,1950,6150,1569,1,4,Panorama City,neighborhood,01/11/2006,550000,424200
672598,10043 Woodley Ave,91343,North Hills,SingleFamily,2019,538692,1957,7448,1995,2,5,North Hills,neighborhood,08/15/2014,500000,546400
887341,4817 La Roda Ave,90041,Los Angeles,Duplex,2019,58442,1922,5196,1591,4,3,Eagle Rock,neighborhood,NA,NA,794500
571649,2665 Dobinson St,90033,Los Angeles,MultiFamily2To4,2019,253959,1947,7501,1404,NA,0,Boyle Heights,neighborhood,10/08/1996,176000,413200
672988,16733 Donmetz St,91344,Granada Hills,SingleFamily,2019,357436,1955,7500,1833,2,5,Granada Hills,neighborhood,07/10/1992,230000,591300
1546251,2001 N Bronson Ave,90068,Los Angeles,Quadruplex,2019,291312,1916,5942,3664,4,4,Hollywood Hills,neighborhood,NA,NA,1755600
797866,7305 Verdugo Crestline Dr,91042,Tujunga,SingleFamily,2019,622189,1987,13233,1960,2,3,Tujunga,neighborhood,10/09/2014,577500,558800
576231,3711 Wall St,90011,Los Angeles,Triplex,2019,375979,1905,4403,2082,3,4,Central City,neighborhood,NA,NA,395200
1220993,4567 Starling Way,90065,Los Angeles,SingleFamily,2019,470475,1949,8880,1607,2,3,Mount Washington,neighborhood,NA,NA,745100
1127196,2907 Rosanna St,90039,Los Angeles,Duplex,2019,372053,1923,7198,2220,4,5,Elysian Valley,neighborhood,NA,NA,567000
966593,2631 Virginia Rd,90016,Los Angeles,Triplex,2019,55766,1924,6539,3272,3,5,West Adams,neighborhood,NA,NA,690600
810346,19908 Ahwanee Ln,91326,Porter Ranch,Condominium,2019,705000,1995,4447,2100,2.5,3,Porter Ranch,neighborhood,02/19/2009,605000,756700
632249,9868 Rincon Ave,91331,Pacoima,SingleFamily,2019,305536,1951,6888,2225,3,5,Pacoima,neighborhood,08/21/1998,110000,429400
2305986,2250 Mountain Oak Dr,90068,Los Angeles,SingleFamily,2019,747720,1978,11786,3115,5,3,Hollywood Hills,neighborhood,03/05/1982,223000,1755600
562905,8400 Colbath Ave,91402,Panorama City,SingleFamily,2019,257354,1949,5956,1502,2,3,Panorama City,neighborhood,10/09/1996,138500,424200
651636,10555 Samoa Ave,91042,Tujunga,SingleFamily,2019,310666,1931,6612,1376,1,3,Tujunga,neighborhood,01/26/2001,230000,558800
617412,710 W 42nd Pl,90037,Los Angeles,SingleFamily,2019,547527,1921,4804,1758,2,5,South Los Angeles,neighborhood,01/31/2005,350000,429200
808060,16317 Barneston St,91344,Granada Hills,SingleFamily,2019,132697,1963,11834,2192,3,4,Granada Hills,neighborhood,NA,NA,591300
496526,4207 Naomi Ave,90011,Los Angeles,SingleFamily,2019,287118,1971,6098,1512,2,4,Central City,neighborhood,02/07/2011,250000,395200
890363,2362 Colorado Blvd,90041,Los Angeles,SingleFamily,2019,811512,1912,7496,1896,3,3,Eagle Rock,neighborhood,07/03/2017,780000,794500
573803,10556 Aqueduct Ave,91344,Granada Hills,SingleFamily,2019,422643,1954,7392,1251,2,3,Granada Hills,neighborhood,04/22/2011,368000,591300
712698,1876 Seigneur Ave,90032,Los Angeles,SingleFamily,2019,216176,1951,4560,1784,2,3,University Hills,neighborhood,12/19/1995,120000,455700
496607,3462 Opal St,90023,Los Angeles,SingleFamily,2019,216330,1913,5663,1389,2,3,Boyle Heights,neighborhood,02/09/1998,125000,413200
1754945,12323 Sunset Park Way,90064,Los Angeles,SingleFamily,2019,1047494,1978,6560,2504,3,4,Mar Vista,neighborhood,09/24/2009,900000,1309500
554189,836 W 74th St,90044,Los Angeles,SingleFamily,2019,423420,1919,5600,1754,NA,0,South Los Angeles,neighborhood,07/22/2015,399000,429200
896848,1209 S Serrano Ave,90006,Los Angeles,Quadruplex,2019,262414,1927,4139,1710,4,NA,Mid City,neighborhood,NA,NA,862400
545396,9310 Tamarack Ave,91352,Sun Valley,SingleFamily,2019,373022,1953,6750,1215,1,3,Sun Valley,neighborhood,NA,NA,483500
